,pm2.5_atm,pm2.5_atm,pm2.5_atm,pm2.5_atm,pm10.0_atm,pm10.0_atm,pm10.0_atm,pm10.0_atm,temp_celsius,temp_celsius,temp_celsius,humidity,humidity,humidity
,mean,min,max,std,mean,min,max,std,mean,min,max,mean,min,max
month_year,,,,,,,,,,,,,,
2024-01,10.75,0.3,63.8,9.9,11.61,0.4,69.8,11.12,34.41,28.33,46.11,40.53,18,66
2024-02,27.06,1.0,177.5,22.55,30.37,1.3,184.3,24.76,35.58,28.89,49.44,37.7,14,62
2024-03,49.27,4.1,373.2,49.41,54.08,4.5,397.2,51.99,36.37,29.44,48.33,37.74,16,73
2024-04,29.87,0.0,320.8,43.83,32.69,0.0,341.3,46.4,35.26,26.67,48.33,45.18,16,95
2024-05,1.51,0.0,42.0,3.01,1.68,0.0,50.9,3.32,33.36,18.33,46.67,57.81,24,86
2024-06,1.35,0.0,13.9,1.96,1.46,0.0,14.8,2.04,33.19,26.67,46.67,57.2,24,84
2024-07,3.97,0.0,59.3,3.57,4.18,0.0,64.4,3.74,32.65,23.89,46.11,57.88,24,82
2024-08,10.73,0.3,36.9,7.62,11.16,0.3,42.7,7.96,34.31,26.11,48.33,51.6,21,81
2024-09,10.1,0.4,30.6,3.9,10.46,0.5,33.7,4.02,36.38,27.78,48.89,45.37,18,76
2024-10,7.35,0.2,57.6,4.77,7.68,0.2,68.0,5.34,35.65,27.78,48.89,44.79,16,74
2024-11,7.57,0.0,148.5,6.43,7.88,0.1,151.6,6.75,35.25,25.0,47.22,46.7,18,94
2024-12,4.46,0.0,51.2,3.77,5.03,0.1,59.6,4.28,33.89,27.78,45.0,47.08,23,69
2025-01,5.39,0.0,26.6,4.61,5.88,0.0,29.8,4.91,33.28,27.22,45.0,45.26,19,74
2025-02,4.57,0.0,18.7,3.52,5.26,0.0,19.8,3.96,33.35,27.22,45.0,46.14,21,70
2025-03,3.87,0.0,25.5,3.38,4.36,0.0,26.9,3.66,33.62,25.56,47.22,48.82,15,91
2025-04,2.52,0.0,23.6,2.66,2.84,0.0,24.8,2.88,33.28,26.67,47.22,55.05,22,81
2025-05,1.38,0.0,21.7,2.19,1.56,0.0,24.3,2.37,32.67,25.56,46.67,58.83,23,87
2025-06,2.18,0.0,33.9,3.2,2.39,0.0,39.1,3.39,32.97,25.56,45.0,57.03,25,84
2025-07,2.99,0.0,31.0,3.46,3.17,0.0,34.4,3.64,32.46,26.11,47.22,58.32,21,84
2025-08,4.51,0.0,29.6,2.87,4.74,0.0,33.1,2.99,33.9,26.11,47.22,52.25,20,79
2025-09,13.01,0.5,37.3,6.28,13.44,0.6,43.2,6.47,35.36,27.78,48.33,46.71,18,76
2025-10,9.53,0.6,57.4,5.01,9.89,0.8,66.3,5.37,34.41,26.11,47.22,50.03,22,83
2025-11,6.74,0.3,37.5,4.89,7.1,0.4,43.5,5.15,34.25,27.22,46.11,48.67,21,81
2025-12,3.71,0.0,35.5,3.2,4.02,0.0,40.5,3.34,33.23,27.22,45.0,50.3,23,76
